suite,dataset,model,method,val_auc,val_ap,val_accuracy,test_auc,test_ap,test_accuracy,loss_tail,evaluated_on_test,seed,wall_time_sec,peak_ram_mb,peak_gpu_mb,peak_cpu_percent,avg_cpu_percent,cpu_user_sec,cpu_system_sec,notes,selection_stage
optimizer_training,movielens_100k,dnn,adam,0.53549090625,0.5123682144577861,0.487875,0.51543846875,0.5002475954553927,0.483875,0.2697913348674774,True,42,0.8611695999279618,680.74609375,0.0,235.2,2.708474576271186,1.21875,1.890625,,
optimizer_training,movielens_100k,dnn,sgd,0.52439640625,0.5207803463861455,0.500125,0.5142200625000001,0.5126192324476598,0.500125,0.6932055294513703,True,42,0.6909265000140294,681.21875,0.0,390.6,2.758757062146892,0.953125,1.5,,
optimizer_training,movielens_100k,dnn,pso,0.491606,0.4919277997232253,0.492375,0.52158775,0.5120428756029574,0.51875,,True,42,0.631380399921909,697.95703125,0.0,1041.7,399.8,0.8125,1.53125,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,evolutionary,0.5222259375,0.5205745735294698,0.5,0.51376134375,0.5119980614323656,0.5,,True,42,0.6104372000554577,693.6796875,0.0,504.0,350.355,0.921875,1.296875,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,adam,0.52804096875,0.5033119295553621,0.483625,0.4997201875,0.493655500103306,0.481625,0.2746465623378754,True,123,0.7914970000274479,681.71484375,0.0,488.3,2.7587570621468926,1.25,1.671875,,
optimizer_training,movielens_100k,dnn,sgd,0.44789215625,0.4676106265309581,0.5,0.44248321875,0.4694716917794599,0.5,0.6932294845581055,True,123,0.6934662000276148,681.734375,0.0,293.0,1.655367231638418,0.96875,1.453125,,
optimizer_training,movielens_100k,dnn,pso,0.47776265625000003,0.474349902897519,0.48175,0.50510396875,0.5022741466124486,0.499,,True,123,0.6913840000052005,698.43359375,0.0,565.2,337.3318181818182,0.734375,1.671875,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,evolutionary,0.44788965625,0.46774699787562496,0.5,0.4440794375,0.4710901913765593,0.5,,True,123,0.6792057999409735,693.75,0.0,585.9,332.44,0.8125,1.40625,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,adam,0.5328189999999999,0.5068821688332207,0.487875,0.5253535625,0.501280408267569,0.48425,0.2582503199577332,True,456,0.7895908000646159,681.66796875,0.0,293.0,3.3474576271186463,1.109375,1.609375,,
optimizer_training,movielens_100k,dnn,sgd,0.50229184375,0.5084596674596238,0.50025,0.5371013125,0.5261996095607792,0.5,0.6932111978530884,True,456,0.7437176000094041,681.91796875,0.0,97.7,0.5519774011299435,1.03125,1.59375,,
optimizer_training,movielens_100k,dnn,pso,0.5268248125,0.5354220217625743,0.51875,0.54281009375,0.5333819376394573,0.525375,,True,456,0.6137370999203995,698.6171875,0.0,878.9,371.43636363636364,0.71875,1.46875,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,evolutionary,0.5406704375,0.5288276911916889,0.520875,0.5248495,0.5202176823670177,0.514625,,True,456,0.5963925999822095,694.18359375,0.0,453.6,331.805,0.75,1.3125,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,adam,0.51015275,0.4966201659795625,0.48625,0.49284293749999997,0.4878959866664711,0.483125,0.26274816393852235,True,789,0.7782957999734208,682.16796875,0.0,390.6,2.2067796610169492,1.140625,1.703125,,
optimizer_training,movielens_100k,dnn,sgd,0.49613359375,0.4918407194908698,0.5,0.4639615625,0.4673058494739986,0.5,0.6931621134281158,True,789,0.693442500079982,682.21875,0.0,390.6,2.2067796610169492,1.078125,1.53125,,
optimizer_training,movielens_100k,dnn,pso,0.552028,0.5477352979708432,0.541125,0.54467678125,0.5496405323030682,0.52775,,True,789,0.6515551999909803,698.921875,0.0,453.6,344.86363636363643,0.671875,1.6875,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,evolutionary,0.49319296874999996,0.48925440047282587,0.5,0.46176721875,0.46574773327044316,0.5,,True,789,0.6154324999079108,694.30078125,0.0,604.8,315.54,0.71875,1.3125,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,adam,0.5052498750000001,0.49427344185859434,0.48675,0.4705033125,0.4799578143106303,0.4845,0.25515174120664597,True,2026,0.7746436999877915,682.28515625,0.0,488.3,2.7587570621468926,1.1875,1.734375,,
optimizer_training,movielens_100k,dnn,sgd,0.4649875625,0.4813704201320389,0.50275,0.47888028125000004,0.47420907842361915,0.495625,0.6930612325668335,True,2026,0.7188413999974728,682.28515625,0.0,390.6,4.96553672316384,1.078125,1.46875,,
optimizer_training,movielens_100k,dnn,pso,0.49461524999999995,0.4963102991966846,0.48925,0.49044359375,0.4877250768170898,0.494875,,True,2026,0.5819124999688938,699.109375,0.0,878.9,362.5272727272727,0.703125,1.28125,Population-based training on the same neural recommender.,
optimizer_training,movielens_100k,dnn,evolutionary,0.46199671875000003,0.47856256342938985,0.5,0.47660781250000006,0.47247400251552707,0.5,,True,2026,0.6773315999889746,694.47265625,0.0,634.8,334.655,0.96875,1.3125,Population-based training on the same neural recommender.,
hyperparameter_search,movielens_100k,dnn,grid_search,0.6782105,0.6203889184230518,0.639,,,,0.6776061177253723,False,42,0.2960983000230044,682.45703125,0.0,97.7,1.5758064516129033,0.359375,0.515625,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5758251249999999,0.5317930780761054,0.492,,,,0.6813749074935913,False,123,0.2754417998949066,682.45703125,0.0,0.0,0.0,0.40625,0.4375,"embedding_dim=16, hidden_dim=32, dropout=0.0, lr=0.000630957344480193",validation_search
